CustID,FullName,EmailAddr,JoinDate
1001,John Smith,john.smith@email.com,2021-05-10
1002,Jane Doe,jane.doe@email.com,2020-11-23
1003,Bob Johnson,bob.johnson@email.com,2022-01-15
1004,Sarah Lee,sarah.lee@email.com,2023-03-18
1005,Michael Brown,michael.brown@email.com,2021-08-09
1006,Emily Davis,emily.davis@email.com,2019-12-12
1007,Chris Miller,chris.miller@email.com,2022-07-01
1008,Amanda Wilson,amanda.wilson@email.com,2021-04-05
1009,Daniel Garcia,daniel.garcia@email.com,2023-01-30
1010,Linda Martinez,linda.martinez@email.com,2020-09-14
